model_key,variant_name,mode,beta,epsilon,accuracy,mean_ce_loss,num_samples,mean_m_pred,frac_m_pred_positive,mean_m_proto,frac_m_proto_positive,mean_R_enc,mean_R_dec,mean_m_proto_used,frac_m_proto_used_positive,mean_m_proto_mu,frac_m_proto_mu_positive,mean_sigma_mean_all,mean_sigma_median_all,mean_sigma_min_correct_mu,mean_sigma_min_wrong_mu,mean_mu_mae_clamped_sample,mean_target_saturation_rate_sample,apmsr,apmsr_false_match_count,apmsr_suppressed_count,false_match_rate_mu,suppressed_rate_all,risk_harm_count,risk_harm_rate_all,risk_harm_rate_on_mu_correct
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.0,0.9838,0.05303547903895378,10000,0.19418446719646454,0.9838,0.5279922485351562,0.9832,0.0,0.0,0.7552110552787781,0.9831,0.778609573841095,0.9831,0.20094574987888336,0.19164331257343292,0.16512994468212128,0.17266970872879028,0.015378872863948345,6.666667104582302e-06,0.0,169,0,0.0169,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.02500000037252903,0.981,0.06533049046993256,10000,0.1887311339378357,0.981,0.5123752951622009,0.9806,0.01631924696266651,0.19797056913375854,0.7377967834472656,0.9805,0.7611337900161743,0.9805,0.1988760083913803,0.19026288390159607,0.16570469737052917,0.1728661209344864,0.01505121961236,3.333333552291151e-06,0.0,195,0,0.0195,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.05000000074505806,0.9752,0.07885780930519104,10000,0.18335643410682678,0.9752,0.4968516528606415,0.9749,0.03144223242998123,0.3701024055480957,0.7201464772224426,0.9748,0.7433630228042603,0.9748,0.1970621645450592,0.18909384310245514,0.1662348210811615,0.17252257466316223,0.014787162654101849,0.0,0.0,252,0,0.0252,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.07500000298023224,0.9705,0.09370633959770203,10000,0.1780632734298706,0.9705,0.48162519931793213,0.9706,0.045656539499759674,0.5263374447822571,0.7024407982826233,0.9707,0.7254703044891357,0.9707,0.19546425342559814,0.18800845742225647,0.16666799783706665,0.17276811599731445,0.014587041921913624,0.0,0.0,293,0,0.0293,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.10000000149011612,0.9648,0.10982825607061386,10000,0.1727043241262436,0.9648,0.4661361873149872,0.9651,0.059359852224588394,0.6709213852882385,0.684133768081665,0.9648,0.7068948149681091,0.9648,0.19399897754192352,0.18713869154453278,0.1669134944677353,0.17286145687103271,0.014437350444495678,0.0,0.0,352,0,0.0352,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.125,0.96,0.12780910730361938,10000,0.1672702133655548,0.96,0.4506070911884308,0.9597,0.07250983268022537,0.802852988243103,0.6654351949691772,0.9599,0.6878901124000549,0.9599,0.1926950216293335,0.18626385927200317,0.16724886000156403,0.17352715134620667,0.014353892765939236,0.0,0.0,401,0,0.0401,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.15000000596046448,0.9539,0.14825491607189178,10000,0.16204191744327545,0.9539,0.4356532096862793,0.9538,0.08506263047456741,0.9274209141731262,0.6469769477844238,0.9542,0.6691343784332275,0.9542,0.19134162366390228,0.18543769419193268,0.16752588748931885,0.1732523888349533,0.014278605580329895,0.0,0.0,458,0,0.0458,0.0,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.17499999701976776,0.9473,0.16878871619701385,10000,0.15662576258182526,0.9473,0.42005419731140137,0.9467,0.09731258451938629,1.0439494848251343,0.6277720928192139,0.9467,0.6495218873023987,0.9466,0.19030925631523132,0.18482373654842377,0.1676701158285141,0.1737585812807083,0.014233654364943504,0.0,0.0018726591760299626,534,1,0.0534,0.0001,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.20000000298023224,0.9402,0.1913388967514038,10000,0.15160900354385376,0.9402,0.4059373140335083,0.9403,0.10895121842622757,1.1524014472961426,0.6099169850349426,0.9403,0.631297767162323,0.9401,0.18924669921398163,0.1842867136001587,0.16782234609127045,0.17375527322292328,0.014158587902784348,0.0,0.00333889816360601,599,2,0.0599,0.0002,0,0.0,0.0
B30-FT-E-M,B30-FT-E-M__dfl_risk_beta0p25,risk,0.25,0.22499999403953552,0.9328,0.21290412545204163,10000,0.14631542563438416,0.9328,0.39099955558776855,0.9317,0.12015275657176971,1.2516212463378906,0.590643584728241,0.9317,0.6115944385528564,0.9317,0.18832987546920776,0.18361741304397583,0.16811434924602509,0.17393827438354492,0.014151223935186863,0.0,0.0,683,0,0.0683,0.0,0,0.0,0.0
